Freelancer_ID,Skills,Hourly_Rate,Rating,Completed_Projects
F0000,"['Docker', 'AWS', 'SQL', 'JavaScript']",99.25,4.4,98
F0001,"['NodeJS', 'Python', 'AWS', 'Django', 'JavaScript']",90.35,3.0,36
F0002,"['React', 'NodeJS', 'Docker']",82.65,4.6,97
F0003,"['Docker', 'Python']",81.66,3.8,85
F0004,"['Docker', 'AWS', 'React']",28.79,3.6,42
F0005,"['React', 'SQL']",47.74,3.4,91
F0006,"['Python', 'NodeJS', 'React']",51.12,3.0,46
F0007,"['Django', 'SQL', 'Docker']",16.75,4.6,15
F0008,"['Python', 'NodeJS', 'JavaScript', 'Django']",61.46,3.6,18
F0009,"['SQL', 'Docker']",25.67,4.8,8
F0010,"['NodeJS', 'React']",63.56,3.4,9
F0011,"['Python', 'NodeJS', 'Django', 'React', 'Docker']",93.87,3.8,93
F0012,"['Docker', 'Python', 'SQL', 'React']",68.2,3.9,53
F0013,"['Django', 'NodeJS']",37.5,3.5,36
F0014,"['React', 'Python', 'SQL', 'AWS']",27.16,3.9,41
F0015,"['AWS', 'Python', 'SQL', 'Django']",75.08,3.2,96
F0016,"['Docker', 'JavaScript', 'React', 'AWS', 'Django']",31.32,3.6,26
F0017,"['JavaScript', 'Python', 'Django', 'AWS', 'NodeJS']",59.65,3.1,61
F0018,"['Python', 'Docker', 'AWS', 'React']",49.29,4.1,82
F0019,"['SQL', 'AWS', 'React']",91.14,3.7,21
F0020,"['Docker', 'Python', 'AWS']",46.83,4.3,97
F0021,"['React', 'Docker', 'Python', 'NodeJS']",77.8,4.1,39
F0022,"['Python', 'Docker', 'React']",83.54,4.9,96
F0023,"['SQL', 'JavaScript', 'AWS', 'Docker', 'Python']",80.31,4.4,72
F0024,"['SQL', 'React', 'Docker', 'JavaScript']",88.63,4.5,20
F0025,"['React', 'NodeJS', 'Django', 'Python']",94.28,4.6,72
F0026,"['Python', 'Django']",24.07,4.4,53
F0027,"['React', 'Python', 'SQL', 'AWS']",33.22,4.9,7
F0028,"['React', 'AWS', 'Python', 'Django']",54.74,3.9,96
F0029,"['SQL', 'Python', 'React']",61.15,4.8,77
F0030,"['React', 'AWS', 'Django']",35.09,4.1,48
F0031,"['Python', 'NodeJS', 'Django', 'AWS', 'SQL']",88.83,3.7,52
F0032,"['AWS', 'Docker']",21.04,4.2,53
F0033,"['SQL', 'React', 'Docker']",40.45,3.0,77
F0034,"['AWS', 'Docker', 'JavaScript', 'Django']",70.2,4.2,21
F0035,"['Docker', 'SQL']",51.39,4.2,11
F0036,"['AWS', 'Docker', 'SQL', 'Python', 'NodeJS']",49.91,4.4,84
F0037,"['Python', 'NodeJS', 'Django']",33.78,3.1,82
F0038,"['AWS', 'SQL', 'Docker', 'NodeJS']",50.5,4.4,81
F0039,"['React', 'AWS', 'SQL']",51.78,3.1,29
F0040,"['JavaScript', 'Django', 'React', 'AWS', 'NodeJS']",77.48,4.2,50
F0041,"['Python', 'AWS', 'Django']",92.5,4.3,45
F0042,"['Django', 'AWS', 'Python']",72.44,4.9,16
F0043,"['SQL', 'React', 'Django', 'AWS']",87.05,4.7,15
F0044,"['Django', 'Python']",23.04,4.6,88
F0045,"['React', 'JavaScript', 'Docker']",34.68,3.1,31
F0046,"['SQL', 'Python', 'NodeJS', 'AWS']",42.95,4.9,6
F0047,"['Docker', 'JavaScript', 'NodeJS', 'Django', 'AWS']",43.03,3.7,39
F0048,"['SQL', 'JavaScript', 'Docker']",70.04,4.9,76
F0049,"['React', 'AWS', 'Python', 'Docker', 'Django']",97.81,3.9,61
F0050,"['Python', 'Django', 'SQL', 'JavaScript']",78.95,3.7,74
F0051,"['NodeJS', 'JavaScript', 'React', 'Django']",39.18,3.3,53
F0052,"['SQL', 'NodeJS', 'Docker', 'Python', 'Django']",95.38,4.3,50
F0053,"['Docker', 'SQL', 'JavaScript', 'Django', 'NodeJS']",40.08,4.4,26
F0054,"['Docker', 'Django', 'NodeJS', 'React', 'AWS']",54.81,3.9,9
F0055,"['SQL', 'AWS', 'NodeJS']",61.39,4.1,86
